Date,Time,Latitude,Longitude
2011-08-29,6:56:58 PM,42.392,-88.089
2011-08-29,6:57:08 PM,42.391,-88.089
2011-08-29,6:57:18 PM,42.391,-88.089
2011-08-29,6:57:28 PM,42.391,-88.089
2011-08-29,6:57:38 PM,42.39,-88.089
2011-08-29,6:57:48 PM,42.39,-88.088
2011-08-29,6:57:58 PM,42.391,-88.088
2011-08-29,6:58:08 PM,42.391,-88.088
2011-08-29,6:58:18 PM,42.391,-88.088
2011-08-29,6:58:28 PM,42.392,-88.088
2011-08-29,6:58:38 PM,42.392,-88.088
2011-08-29,6:58:48 PM,42.392,-88.088
2011-08-29,6:58:58 PM,42.393,-88.088
2011-08-29,6:59:08 PM,42.393,-88.088
2011-08-29,6:59:18 PM,42.394,-88.088
2011-08-29,7:00:08 PM,42.393,-88.088
2011-08-29,7:00:18 PM,42.393,-88.088
2011-08-29,7:00:28 PM,42.392,-88.088
2011-08-29,7:00:38 PM,42.392,-88.089
2011-08-29,7:00:48 PM,42.392,-88.089
2011-08-29,7:00:58 PM,42.392,-88.089
2011-08-29,7:01:08 PM,42.392,-88.09
2011-08-29,7:01:18 PM,42.393,-88.09
2011-08-29,7:01:28 PM,42.393,-88.09
2011-08-29,7:01:38 PM,42.393,-88.091
2011-08-29,7:01:48 PM,42.393,-88.092
2011-08-29,7:01:58 PM,42.393,-88.092
2011-08-29,7:02:08 PM,42.393,-88.093
2011-08-29,7:02:18 PM,42.393,-88.093
2011-08-29,7:02:28 PM,42.393,-88.094
2011-08-29,7:02:38 PM,42.393,-88.094
2011-08-29,7:02:48 PM,42.394,-88.094
2011-08-29,7:02:58 PM,42.394,-88.094
2011-08-29,7:03:08 PM,42.394,-88.094
2011-08-29,7:03:18 PM,42.395,-88.094
2011-08-29,7:03:28 PM,42.395,-88.095
2011-08-29,7:03:38 PM,42.395,-88.095
2011-08-29,7:03:48 PM,42.395,-88.096
2011-08-29,7:03:58 PM,42.395,-88.096
2011-08-29,7:04:08 PM,42.396,-88.096
2011-08-29,7:04:18 PM,42.396,-88.096
2011-08-29,7:04:48 PM,42.395,-88.096
2011-08-29,7:04:58 PM,42.395,-88.096
2011-08-29,7:05:08 PM,42.395,-88.096
2011-08-29,7:05:18 PM,42.394,-88.096
2011-08-29,7:05:28 PM,42.394,-88.095
2011-08-29,7:05:38 PM,42.394,-88.095
2011-08-29,7:05:48 PM,42.393,-88.095
2011-08-29,7:05:58 PM,42.393,-88.095
2011-08-29,7:06:08 PM,42.393,-88.095
2011-08-29,7:06:18 PM,42.392,-88.095
2011-08-29,7:06:28 PM,42.392,-88.095
2011-08-29,7:06:38 PM,42.392,-88.096
2011-08-29,7:06:48 PM,42.392,-88.096
2011-08-29,7:06:58 PM,42.393,-88.096
2011-08-29,7:07:08 PM,42.393,-88.096
2011-08-29,7:07:18 PM,42.393,-88.096
2011-08-29,7:07:28 PM,42.394,-88.096
2011-08-29,7:07:38 PM,42.394,-88.096
2011-08-29,7:08:18 PM,42.393,-88.095
2011-08-29,7:08:28 PM,42.392,-88.095
2011-08-29,7:08:38 PM,42.392,-88.095
2011-08-29,7:08:48 PM,42.392,-88.095
2011-08-29,7:08:58 PM,42.391,-88.095
2011-08-29,7:09:08 PM,42.391,-88.096
2011-08-29,7:09:18 PM,42.391,-88.096
2011-08-29,7:09:28 PM,42.391,-88.096
2011-08-29,7:09:38 PM,42.391,-88.096
2011-08-29,7:09:48 PM,42.391,-88.096
2011-08-29,7:09:58 PM,42.39,-88.096
2011-08-29,7:10:08 PM,42.39,-88.096
2011-08-29,7:10:18 PM,42.39,-88.096
2011-08-29,7:10:28 PM,42.39,-88.096
2011-08-29,7:10:38 PM,42.39,-88.095
2011-08-29,7:10:48 PM,42.39,-88.095
2011-08-29,7:10:58 PM,42.39,-88.095
2011-08-29,7:11:08 PM,42.39,-88.094
2011-08-29,7:11:18 PM,42.39,-88.094
2011-08-29,7:11:28 PM,42.389,-88.094
2011-08-29,7:11:58 PM,42.39,-88.094
2011-08-29,7:12:28 PM,42.39,-88.095
2011-08-29,7:12:38 PM,42.39,-88.095
2011-08-29,7:12:48 PM,42.391,-88.095
2011-08-29,7:12:58 PM,42.391,-88.095
2011-08-29,7:13:08 PM,42.391,-88.095
2011-08-29,7:13:18 PM,42.392,-88.095
2011-08-29,7:13:28 PM,42.392,-88.095
2011-08-29,7:14:08 PM,42.393,-88.095
